"company_name","website","ats_type","ats_identifier","job_count","jobs","important_emails"
"Atlan","https://atlan.com","ASHBY","atlan","0","",""
"Cred","https://cred.club","LEVER","cred","11","area collections manager bangalore -flows;area collections manager chennai- flows;area collections manager hyderabad -flows;area collections manager, pune (recoveries);business development & partnerships;business development & strategic partnerships - d2c;capital partnerships;copywriter;lead – on deck payments;long form content writer/editor;regional collection manager bangalore - flows",""
"Fi Money","https://fi.money","LEVER","epifi","11","Ai Engg Intern;Associate PMM — Tetriz;DS / ML Engineer;DS/ML Intern;Founding GTM Lead, North America;GTM - sales;GenAI Product Builder Intern;Member of Technical Staff (MTS) – Core Full-Stack / Backend;Member of Technical Staff (MTS) – DevOps & Infrastructure;Member of Technical Staff (MTS) –Senior  Core Full-Stack / Backend;Product Marketing Intern - Tetriz",""
"Hasura","https://hasura.io","UNKNOWN","","0","",""
"Hyperface","https://www.hyperface.co","UNKNOWN","","0","",""
"Inai","https://inai.io","ASHBY","luminai","0","",""
"Meesho","https://www.meesho.io","LEVER","meesho","49","AM/ Manager - Risk & Decision Science;Assistant Manager - Business Finance;Assistant Manager - Ops;Assistant Manager - Performance Marketing;Assistant Manager Finance – Logistics Intelligence;Associate Compliance Manager;Associate Director - Business Finance;Associate Director - Commerce Platform;Brand Associate;Cluster Head  ( Security & Investigation);Cluster Head  ( Security & Investigation);Cluster Head- Last mile - Kerala;Creative Manager;Data Scientist III;Deputy Manager - Business Finance;Director - Product;Director Data Science;Director – Sales, Meesho AI Services (MAS) | North India;Director- Business Finance;Engineering Manager -Backend;Engineering Manager – AI Engineering;Engineering Manager- Platform;Group Product Manager;Head of Meesho Foundation;Manager - Business Finance;Manager - DAU Growth;Manager - HR COE;Manager - User Experience : F&E;Manager HR - COE;Manager HR – Learning & Development;Manager-  Legal;Principal Data Scientist;Product Manager  (Internal Platform);Security Architect - AI-Powered Security Engineering;Senior Associate - Monetisation;Senior Associate - Performance Marketing;Senior Associate / Assistant Manager - Program Ops (Fulfilment & Experience);Senior Business Development Manager (SBDM);Senior Manager - Commerce Platform;Senior Manager - FnE;Senior Manager - Production;Senior Manager - User Experience : F&E;Senior Manager – Latent Last Mile;Senior Manager – Self Pickup : Last Mile;Senior Talent Partner ( Non-Tech Hiring);Software Development Engineer III -Backend;Software Development Engineer III Data;Software Development Engineer III DevOps;Trainee - Recruitment Coordinator",""
"Pepper Content","https://www.peppercontent.io","UNKNOWN","","0","",""
"Pixxel","https://www.pixxel.space","UNKNOWN","","0","",""
"Postman","https://www.postman.com","GREENHOUSE","postman","64","AI Engineer, Internship - Summer 2026 - Applications Open Now;Account Development Representative;Account Development Representative;Account Development Representative;Account Development Representative;Account Development Representative (Portuguese & Spanish Speaking);Account Executive;Applied AI Scientist, Small Language Model and AI Training;Backend and System Engineer, Flows;Channel Sales Manager, Korea;Commercial Counsel;Corporate Solutions Engineer;Customer Success Engineer;Customer Success Engineer, French Speaking;Customer Success Engineer, German Speaking ;Customer Success Engineer, Spanish Speaking ;Customer Success Engineer/Devops;Digital Named Enterprise Account Executive;Enterprise Account Executive;Enterprise Solutions Engineer;Enterprise Solutions Engineer;Enterprise Solutions Engineer;Enterprise Solutions Engineer, Israel ;Enterprise Solutions Engineer, Italy;Enterprise Solutions Engineer, UK;Field Marketing Manager ;Head of AI Platform Engineering;Head of Engineering, Infrastructure & SRE;Head of Financial Services, Americas;Key Account Director;Member of Technical Staff, AI Agent Development Lead;Member of Technical Staff, AI Reliability & Monitoring Engineering Lead;Mid-Market Account Executive ;Mid-Market Account Executive ;Principal Offensive Security Engineer;Regional Channel Sales Leader, North America;SEO Manager;SMB Account Executive, Germany;Sales Compensation Analyst;Senior Backend Engineer, Cloud Platform;Senior Commercial Counsel;Senior Demand Generation Manager;Senior Developer Advocate;Senior Engineer - Fabric Gateway;Senior Engineer, IAM ;Senior Engineer, Search;Senior Engineering Manager, API Catalog;Senior Forward Deployed Engineer (Backend);Senior Fullstack Software Engineer - (Customer Journey);Senior Manager, Customer Success Engineering;Senior Mid-Market Account Executive;Senior Mid-Market Account Executive;Senior Software Engineer - Fern;Senior Software Engineer Manager - Ecosystems & Integration;Senior Software Engineer, Client Platform;Senior Software Engineer, Front-End;Senior Solutions Architect - London, UK;Software Engineer, IAM;Solutions Consultant;Staff Engineer – Observability Platform;Staff Software Engineer - Fern;Staff Software Engineer, Business Platform;Strategic Solutions Engineering, Netherlands/Sweden/Denmark;Technical Community Manager",""
"Razorpay","https://razorpay.com","GREENHOUSE","razorpaysoftwareprivatelimited","22","Associate Manager, Enterprise Partnerships ;Associate Manager, Startup Accounts;Associate, Learning Business Partner;Associate, Startup Accounts;DevOps Enginer;Executive, Finance;Executive, Finance;Forward Deployed Engineer;Manager, AEO;Manager, Affordability;Manager, Banking Alliances;Manager, Cross Border;Manager, Product Marketing;Product Manager II;Product Manager II;Product Manager II - Ads ;Senior Executive, Finance;Senior Manager, Sales;Senior Software Development Engineer;Software Development Engineer;Solutions Consultant;Technical Account Manager",""
"Sirion","https://www.sirion.ai","UNKNOWN","","0","",""
"Skydo","https://www.skydo.com","UNKNOWN","","0","",""
